No,曲,歌手-ユニット,検索用,ジャンル,タイムスタンプ,配信日,動画ID,確度スコア
1,二息歩行 feat. 初音ミク,DECO*27,二息歩行 feat. 初音みく,Vocaloid,15:53,2025/03/09,iESaT80ob1Y,0.80
2,千本桜 feat.初音ミク,黒うさP,千本桜 feat.初音みく,Vocaloid,35:18,2025/03/09,iESaT80ob1Y,0.80
3,心拍数♯0822,蝶々P,心拍数♯0822,Vocaloid,46:59,2025/03/09,iESaT80ob1Y,0.80
4,みくみくにしてあげる♪【してやんよ】,ika_mo,みくみくにしてあげる♪【してやんよ】,Vocaloid,55:19,2025/03/09,iESaT80ob1Y,0.80
5,トリノコシティ,40㍍P,とりのこしてぃ,Vocaloid,1:03:29,2025/03/09,iESaT80ob1Y,0.80
6,とても素敵な六月でした,Eight,とても素敵な六月でした,Vocaloid,1:22:07,2025/03/09,iESaT80ob1Y,0.80
7,ヒバナ,DECO*27,ひばな,Vocaloid,1:45:01,2025/03/09,iESaT80ob1Y,0.80
8,トリノコシティ,,とりのこしてぃ,Vocaloid,28:36,2025/06/15,FyPFpAJeNDs,0.80
9,again,,again,アニメ,33:44,2025/06/15,FyPFpAJeNDs,0.80
10,god knows...,,god knows...,アニメ,48:15,2025/06/15,FyPFpAJeNDs,0.80
11,風になる,,風になる,アニメ,1:00:20,2025/06/15,FyPFpAJeNDs,0.80
12,オドループ,,おどるーぷ,その他,1:12:20,2025/06/15,FyPFpAJeNDs,0.80
13,Everlasting Guilty Crown,,everlasting guilty crown,アニメ,1:22:15,2025/06/15,FyPFpAJeNDs,0.80
14,名前のない怪物,,名前のない怪物,アニメ,1:29:42,2025/06/15,FyPFpAJeNDs,0.80
15,コネクト（1番のみ）,,こねくと1番のみ,アニメ,1:48:10,2025/06/15,FyPFpAJeNDs,0.80
16,海の幽霊,,海の幽霊,その他,1:53:44,2025/06/15,FyPFpAJeNDs,0.80
